District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Littered With Books,1.2794401610962218,103.84332770263443,Bookstore
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Bearded Bella,1.2774696243441677,103.84284620016234,Café
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Kuro Maguro,1.2766989535948103,103.8459509163215,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,cru cycle,1.2778364191914944,103.84308872726065,Sports Club
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Amoy St Boon Kee Prawn Noodle,1.2727150899082778,103.84243393950328,Food Court
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Super Star K Korean BBQ,1.2780031896140587,103.84368014152432,Korean Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Fat Prince,1.2778008398628424,103.8452015914001,Kebab Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Teppei Japanese Restaurant,1.2764730313114125,103.84380945770157,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,APIARY,1.2794992726812096,103.84229440605792,Ice Cream Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Imakatsu,1.276605335377591,103.84582308538853,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Ippudo (一風堂),1.27707,103.84579,Ramen Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Webarre,1.278403247681749,103.84383694300418,Gym / Fitness Center
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Guzman y Gomez,1.2768861,103.84526,Mexican Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Hamburg Steak Keisuke,1.2773080137025707,103.84502142686817,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Tippling Club,1.279419789447784,103.84384825925842,Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Heart Of Darkness,1.2779609,103.84446,Beer Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Local Coffee People,1.2759962096237816,103.84577516856889,Coffee Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Napoleon Food & Wine Bar,1.2799249387439204,103.84733300574288,Wine Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,大阪焼肉 Don Don Singapore,1.278327,103.843856,BBQ Joint
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Masjid Haji Muhammad Salleh @ Maqam Habib Noh,1.2729254055116352,103.84721965170105,Mosque
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Tokyo Soba,1.275313,103.843982,Soba Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Yoga Movement,1.279561008004445,103.84402560835365,Yoga Studio
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,The Public Izakaya,1.2744319382060787,103.84381188205008,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Monument Lifestyle,1.2782184535735508,103.84322497022025,Coffee Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Yen Yakiniku,1.2810744259693214,103.84574260981839,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,PerBacco,1.2776850868730383,103.842256319757,Italian Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Cove 99,1.2771957038397015,103.84496343450928,Seafood Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,The Guild,1.280479151477324,103.8416160503275,Gastropub
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Cake Spade,1.277755096370204,103.8435911564011,Bakery
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Keisuke Gyoza King 餃子王,1.2766603312461562,103.84360532816974,Dumpling Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Native,1.2801354244146959,103.84684430802805,Cocktail Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,3rd Culture Brewing Co.,1.2802459085809665,103.84485033931811,Beer Bar
